h_tract,LandUse,LandUseText
36005000200,01,One & Two Family Buildings
36005000400,01,One & Two Family Buildings
36005001600,01,One & Two Family Buildings
36005001901,04,Mixed Residential & Commercial Buildings
36005002001,02,Multi-Family Walk-Up Buildings
36005002002,01,One & Two Family Buildings
36005002500,04,Mixed Residential & Commercial Buildings
36005002701,04,Mixed Residential & Commercial Buildings
36005002702,01,One & Two Family Buildings
36005002800,01,One & Two Family Buildings
36005003300,01,One & Two Family Buildings
36005003500,02,Multi-Family Walk-Up Buildings
36005003800,01,One & Two Family Buildings
36005003900,01,One & Two Family Buildings
36005004001,01,One & Two Family Buildings
36005004100,01,One & Two Family Buildings
36005004200,01,One & Two Family Buildings
36005004300,01,One & Two Family Buildings
36005004400,02,Multi-Family Walk-Up Buildings
36005004600,02,Multi-Family Walk-Up Buildings
36005004800,02,Multi-Family Walk-Up Buildings
36005005001,02,Multi-Family Walk-Up Buildings
36005005002,02,Multi-Family Walk-Up Buildings
36005005200,02,Multi-Family Walk-Up Buildings
36005005300,04,Mixed Residential & Commercial Buildings
36005005400,02,Multi-Family Walk-Up Buildings
36005005600,02,Multi-Family Walk-Up Buildings
36005005902,03,Multi-Family Elevator Buildings
36005006000,01,One & Two Family Buildings
36005006200,02,Multi-Family Walk-Up Buildings
36005006301,01,One & Two Family Buildings
36005006400,02,Multi-Family Walk-Up Buildings
36005006700,02,Multi-Family Walk-Up Buildings
36005006800,02,Multi-Family Walk-Up Buildings
36005006900,02,Multi-Family Walk-Up Buildings
36005007000,01,One & Two Family Buildings
36005007100,04,Mixed Residential & Commercial Buildings
36005007200,01,One & Two Family Buildings
36005007300,02,Multi-Family Walk-Up Buildings
36005007400,01,One & Two Family Buildings
36005007500,01,One & Two Family Buildings
36005007600,02,Multi-Family Walk-Up Buildings
36005007700,01,One & Two Family Buildings
36005007800,01,One & Two Family Buildings
36005007900,02,Multi-Family Walk-Up Buildings
36005008300,01,One & Two Family Buildings
36005008400,01,One & Two Family Buildings
36005008500,02,Multi-Family Walk-Up Buildings
36005008600,01,One & Two Family Buildings
36005008700,01,One & Two Family Buildings
36005008900,02,Multi-Family Walk-Up Buildings
36005009000,01,One & Two Family Buildings
36005009200,01,One & Two Family Buildings
36005009301,02,Multi-Family Walk-Up Buildings
36005009600,01,One & Two Family Buildings
36005009800,01,One & Two Family Buildings
36005011502,01,One & Two Family Buildings
36005011800,01,One & Two Family Buildings
36005011900,02,Multi-Family Walk-Up Buildings
36005012101,01,One & Two Family Buildings
36005012102,02,Multi-Family Walk-Up Buildings
36005012300,02,Multi-Family Walk-Up Buildings
36005012500,01,One & Two Family Buildings
36005012701,01,One & Two Family Buildings
36005012901,02,Multi-Family Walk-Up Buildings
36005013000,01,One & Two Family Buildings
36005013100,01,One & Two Family Buildings
36005013200,01,One & Two Family Buildings
36005013300,01,One & Two Family Buildings
36005013500,01,One & Two Family Buildings
36005013800,01,One & Two Family Buildings
36005014100,02,Multi-Family Walk-Up Buildings
36005014300,02,Multi-Family Walk-Up Buildings
36005014400,01,One & Two Family Buildings
36005014500,02,Multi-Family Walk-Up Buildings
36005014900,02,Multi-Family Walk-Up Buildings
36005015100,02,Multi-Family Walk-Up Buildings
36005015200,01,One & Two Family Buildings
36005015300,01,One & Two Family Buildings
36005015500,02,Multi-Family Walk-Up Buildings
36005015700,01,One & Two Family Buildings
36005015800,01,One & Two Family Buildings
36005015900,02,Multi-Family Walk-Up Buildings
36005016000,01,One & Two Family Buildings
36005016100,03,Multi-Family Elevator Buildings
36005016200,01,One & Two Family Buildings
36005016400,01,One & Two Family Buildings
36005016600,01,One & Two Family Buildings
36005016700,01,One & Two Family Buildings
36005016900,01,One & Two Family Buildings
36005017300,02,Multi-Family Walk-Up Buildings
36005017500,02,Multi-Family Walk-Up Buildings
36005017701,02,Multi-Family Walk-Up Buildings
36005017702,01,One & Two Family Buildings
36005017901,02,Multi-Family Walk-Up Buildings
36005017902,02,Multi-Family Walk-Up Buildings
36005018101,02,Multi-Family Walk-Up Buildings
36005018102,02,Multi-Family Walk-Up Buildings
36005018301,03,Multi-Family Elevator Buildings
36005018302,02,Multi-Family Walk-Up Buildings
36005018400,01,One & Two Family Buildings
36005018502,02,Multi-Family Walk-Up Buildings
36005018900,02,Multi-Family Walk-Up Buildings
36005019300,02,Multi-Family Walk-Up Buildings
36005019400,01,One & Two Family Buildings
